Job Name,Company Name,JD,Skills,Date Posted,YOE,Location,Website,Job Function:,Industry:,Specialization:,Qualification:,Hiring Location:,Role:,Vacancies:
Python Automation,GS LAB,"Python AutomationJob ID : 6377Location : PuneExperience Level : 3 to 5 yearsMust Have Skills : PythonNice To Have Skills : NetworkingRoles & responsibilities : Experience of building framework using python Good understanding of QA methodology  test plans, test cycles, SW releases, and test management tools such as Bug tracking and test case repositories.","python,automation,networking,qamethodology,testmanagementtools,bugtracking",Posted 4 days ago,3 - 5 yrs,Pune,,IT Software : Software Products & Services,"Software Services,  IT-Software",Quality Assurance/Testing,BE/ B.Tech (Engineering),,,
Python Developer,art technology and software india pvt ltd,"Responsibilities In-depth knowledge of Python and Django framework 2  yr experience - Must HaveAPI design based on RESTBuild scalable and performance application with large datasetExperienced at Database design/model - Must HaveDevelop back-end core architecture concepts.Test-driven development (TDD): Unit, behavioral, and functional testing / Agile Development - sprintsWorked seamlessly with development team in USUnderstanding of AWS services.Quick learner to work on new projects / technologySkill Set Back-end: Python with Django framework (REST or GraphQL)Database: Postgres.","rest,python,database,django,api",Posted few days ago,2 - 3 yrs,Cochin/ Kochi/ Ernakulam,https://www.artechsoft.com/current-opening.html,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,Doodleblue Innovations Pvt Ltd,"Python Developer Hands on experience in Python Development is a mustExperience in Django and flask frameworkGood understanding of server-side templating languages like jinjaUnderstanding of front-end technologies, such as JavaScript, HTML5, and CSS3, jQueryProficient understanding of git Strong unit test and debugging skillsCreate database schemas that represent and support business processes","python,database,django,git,html5,debugging,javascript,jquery",Posted 6 days ago,0 - 3 yrs,Chennai,http://www.doodleblue.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,WBC Software Lab,"JOB TITLE : Python Developer Duties and Responsibilities : A minimum of 2-5 years work experience in software development using Python Flask and AngularSolid understanding and experience in developing REST API using Python FlaskProficiency in developing web applications using Flask and AngularExperience in MongoDBExperience in MongoDBExperience in Pymongo and MongoEngineGood Working knowledge in GitExperience with Docker, Nginx, Linux is a huge plusExcellent Communication skillsGood problem-solving skills","python,git,restapi,linux,mobile,mongodb,docker",Posted 6 days ago,2 - 5 yrs,Chennai,https://www.wbcsoftwarelab.com/,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,NuageBiz.Tech,"This is an opportunity for a dynamic professional with 2-4 years of IT experience including 2 years in Python Language. We want you to be a self-driven go-getter, with a strong appetite for learning and an analytical mind. You must have an eye for detail, should be able to think outside the box, and be willing to walk the extra mile to make it happen.This role offers immense growth opportunities, as well as a unique opportunity of working with a like-minded team where you can see your work and contributions being applied!The individual should exhibit the following: Strong- interpersonal skills,Be highly motivated, results oriented,Have excellent communication and presentation skills, andBe a strong team player.Responsibilities:In this role, you will be part of an analytical product development team. Your primary focus will be writing high-performance and responsive application code. You will also be responsible for integrating the front-end elements into the application; therefore, understanding front-end technologies is necessary as well.Writing reusable, testable, and efficient codeDesign and implementation of low-latency, high-availability, and performing applications.Integration of user-facing elementsImplementation of security and data protectionRequirements:In-depth knowledge of Flask framework.Able to integrate multiple data sources and databases into one systemKnowledge of user authentication and authorization between multiple systems, servers, and environmentsKnowledge of fundamental design principles behind a scalable applicationFamiliarity with event-driven programming in Python with Flask and Fast APIsUnderstanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platformUnderstanding of code versioning tools such as Git, Mercurial or SVN.Excellent time management and multitasking skills.","python,mobile,teamplayer,svn,security,git,softwareengineering",Posted 6 days ago,2 - 5 yrs,Noida/Greater Noida,http://www.nuagebiz.tech,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,AxisTechnolabs,"Responsibilities : We are offering you Paid odoo - python internship for 3 months and after completion, you will get a job on your hand,100 PERCENT  Job Placement, We suggest to start your career with odoo ERP developer. Why choose odoo to grow your career with becoming an odoo developer?Odoo ERP is emerging faster than any other propriety ERP owing to the fact that it is Open Source. Open-Source nature of Odoo platform is going to make the most impact in the developing market. The future of Odoo is exceptionally good with more than 2 million users in the world. Lively user interaction in development and usage is assured to boost the Odoo platform in the coming years.Odoo uses Python programming language a powerful high-level object-oriented programming language, giving Odoo a better chance over other competitors.Axis Technolabs also provides opportunities for those who are aspiring to build a career in odoo. For more information feel free contact usOdoo Internship Includes:Design and develop Odoo(OpenERP) apps(new module Implementation, customization)Create Python and Odoo(OpenERP) framework of existing appsDevelop applications which make any kind of effect in peoples livesTrack record of implementing well designed mobile applicationsCoordinate with senior developers to design and develop real time web application and ERP softwareRequired Skills and QualificationShould be willing to learn Odoo & Open Source ERP SystemShould have quick grasping powerBasic Understanding of Xmp, Database Python, Oops Concepts Self Motivated and a willingness to learnMust have degree of B.E/B.Tech/MCA/BCA/ MSC-IT","python,css,userinteraction,bootstrap,openerp,database,xml,oops,html",Posted 6 days ago,0 - 1 yrs,Ahmedabad,http://www.axistechnolabs.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA
                    
                    
                  

                    BCA (Computer Application)",,,
Python Developer,pegasus knowledge solutions india pvt ltd.,"Python DeveloperPrimary skill:  Strong Python skills along with web frameworks such as Django/Flask HTML/CSS, knowledge in JS based frameworks such as JQuery/React/Angular/Bootstrap etc. Sound knowledge in API development and usage Knowledge in SQL Knowledge in cloud native application development Knowledge in Java advantageous but not mandatory Ability to take work independently as well as part of team","python,css,django,java,html,bootstrap,api,jquery,sql",Posted 6 days ago,0 - 3 yrs,Bengaluru / Bangalore,https://www.pksi.in/open-positions.html,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,gammastack indore,"Youre Awesome at: Candidates should have experience in any one of python web frameworks like django, flask, bottle etcCandidates should have experience in rest api frameworksCandidates should have experience in writing test cases for python applications.Candidates should have a basic understanding of oops and database conceptsGood communication skills.Leading capabilities as per the exp.Additional Brownie points: Experience with analytics, Datascience, Machine learning, artificial intelligence is plus.Any front-end frameworks like Angular or ReactJS or VueJS experience is plus.","python,database,django,restapi,oops,machinelearning,artificialintelligence",Posted 6 days ago,0 - 3 yrs,Indore,https://www.gammastack.com/careers/,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python developer,AxisTechnolabs,":Responsibilities : - Having strong knowledge in Python framework (Django, Flask or Pyramid) - Having strong knowledge in javaScript/HTML5/CSS3 - SASS and LESS - Basic knowledge about ReactJs, AngularJS , NodeJS - Ability to work with object-relational mapping - Should be motivated self starter and a very good team player - Strong skill in problem-solving in application - Write effective, scalable code - Good client communication skills","python,django,html5,teamplayer,angularjs,javascript",Posted 6 days ago,1 - 4 yrs,Ahmedabad,http://www.axistechnolabs.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA
                    
                    
                  

                    BCA (Computer Application)",,,
Python Developer,Fluper Limited,"Job Responsibilities Hands-on exposure to devices such as Microsoft HoloLens, HTC Vive, Oculus, Samsung Gear VR along with mobile based AR/VR solutionsStrong proficiency with OpencvKnowledge of various AR/VR SDKs, C#Having working experience on Virtual Reality and Augmented Reality Projects","c#,python,virtualreality,mobile,augmentedreality,opencv",Posted 6 days ago,2 - 7 yrs,Noida/Greater Noida,http://www.fluper.com/,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,Techasoft Pvt Ltd,"- Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality- Contribute in all phases of the development lifecycle- Follow industry best practices- Develop and deploy new features to facilitate related procedures and tools if necessary.Requirements:- Must have experience in building web applications in Python/Django- Knows best practices for front- end development- Strong knowledge of Javascript APIs.- Able to handle multiple databases in Django.- Knows how to do multiple environments (production/ staging) setup in Django.- Knows how to set up/deploy Django apps in AWS.- Web frameworks and RESTful APIs- Object-relational mapping, OOPS- Knowledge of MongoDB, PostgreSQL ,MySQL- Familiar with Docker/Docker- compose- Creating predictive models- Ability to integrate databases and various data sources into a unified system- AI, ML, Deep Learning, Neural networking- Data visualization, statistics, data analytics- Libraries like Selenium, Tensorflow, Scikit-learn, pandas, numpy, openCV etc","python,javascript,docker,django,postgresql,oops,mysql,mongodb,opencv",Posted 6 days ago,0 - 3 yrs,Bengaluru / Bangalore,http://www.techasoft.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,CONNECTING 2 WORK,"Job description Expert in Python, with knowledge of at least one Python web framework Django Familiarity with some ORM (Object Relational Mapper) libraries  Able to integrate multiple data sources and databases into one system Understanding of the threading limitations of Python, and multi-process architecture Good understanding of server-side templating languages Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 Understanding of accessibility and security compliance Knowledge of user authentication and authorization between multiple systems, servers, and environments Understanding of fundamental design principles behind a scalable application Familiarity with event-driven programming in Python Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform Able to create database schemas that represent and support business processesStrong unit test and debugging skills Proficient understanding of code versioning tools","securitycompliance,python,html5,mobile,javascript,database,django,debugging",Posted few days ago,0 - 3 yrs,Thiruvananthapuram,http://www.connecting2work.com,IT Software : Software Products & Services,Consulting Services,Software Engineer,Any Graduate,,,
Python Developer,Cybage Software Pvt Ltd,"Experience: 4  YearsThe key aspects of this role include:Design, build, and maintain scalable applications using Python.Contribute to the entire implementation process including driving the definition of improvements based on business need and architectural improvements.Act as a subject matter expert for Application Software developers and Engineers.Handle server-side code for a production platform and contribute to new featuresTo be the right fit, you'll need:More than 4  years of experience as a software developer in Python, with knowledge of at least one Python web framework such as Django, Flask, etc.Good understanding of common design patterns and architecture principles to design reliable and Scalable applicationsStrong communication skillsKnowledge of databases line NoSQL or MongoDBGood to have AWS and Docker or Web servicesBasic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3","python,html5,javascript,nosql,docker,django,softwaredeveloper,mongodb",Posted few days ago,4 - 7 yrs,"Gandhinagar,  Hyderabad/Secunderabad,  Pune",http://www.cybage.com/,IT Software : Software Products & Services,"Software Services,  Internet/Dot com/ISP",Software Engineer,Any Graduate,,,
Python Developer,Wing Global IT Services,Candidates should be completed Graduation at least.Strong skills in java coding with spring boot & hibernate/JPA.Good knowledge of Django framework.Server knowledge will be an adding skill.Candidate should be excellent in Python coding with deadlines.We are looking for at least 2 years experience for this job.We are looking for a candidate who can work in a long run.,"springboot,python,java,django,jpa,hibernate",Posted few days ago,2 - 5 yrs,Panchkula,http://www.winggs.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,Root Info Solutions,"New Delhi, IndiaPython DeveloperJob Role :- Python DeveloperKey Skills :- Python 2, Python 3, Django, Javascript, HTML, PostgreSQL/MYSQL,REST API, Celery RabbitMQ, Redis. :-1. Job Requirement :Minimum 2 years of working experience in Python and Python Frameworks(Django or flask).Experience with creating RESTful endpoints using the Django REST framework.Knowledge of object-relational mapping (ORM).Should have experience with databases like Postgres, MySql.Proven experience in effective team management.Basic coding skills (Python).Strong understanding of OOP Concepts, Data Structure and Design Patterns.Good Communication skills.Ability to work independently in a fast paced and agile development environment.Improve functionality of existing systems.2. Professional Attributes :2 - 3 years of experience in Python.Experience with Python, JavaScript, HTML/CSS, Rest APIs .","python2,python3,django,javascript,html,postgresql/mysql,restapi,celeryrabbitmq,redis.,css,oop",Posted few days ago,2 - 3 yrs,"Delhi,  Delhi/NCR",http://www.rootinfosol.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,BE/ B.Tech (Engineering),,,
Python Developer,Root Info Solutions,"New Delhi, IndiaPython DeveloperJob Role :- Python DeveloperKey Skills :- Python 2, Python 3, Django, Javascript, HTML, PostgreSQL/MYSQL,REST API, Celery RabbitMQ, Redis. :-1. Job Requirement :Minimum 2 years of working experience in Python and Python Frameworks(Django or flask).Experience with creating RESTful endpoints using the Django REST framework.Knowledge of object-relational mapping (ORM).Should have experience with databases like Postgres, MySql.Proven experience in effective team management.Basic coding skills (Python).Strong understanding of OOP Concepts, Data Structure and Design Patterns.Good Communication skills.Ability to work independently in a fast paced and agile development environment.Improve functionality of existing systems.2. Professional Attributes :2 - 3 years of experience in Python.Experience with Python, JavaScript, HTML/CSS, Rest APIs .","python2,python3,django,javascript,html,postgresql/mysql,restapi,celeryrabbitmq,redis.,css,oop",Posted few days ago,2 - 3 yrs,"Delhi,  Delhi/NCR",http://www.rootinfosol.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,BE/ B.Tech (Engineering),,,
Python Developer,young minds technology solutions pvt ltd,"Roles & ResponsibilitiesWrite reusable, testable, and efficient codeDesign and implement of low-latency, high-availability, and performant applicationsIntegration of user-facing elements developed by front-end developers with server side logicImplementation of security and data protectionIntegration of data storage solutionsPerformance tuning, improvement, balancing, usability, automationWork collaboratively with design team to understand end user requirements to provide technical solutions and for the implementation of new software featuresGood knowledge on building a small applications at least in academic levelRequirements :Key RequirementsHands on experience with Django, Flask or other Python frameworksKnowledge in Data Science / ML / DL / Big Data Analytics.Good understanding of server-side templating languages such as Jinja 2, Mako, etcBasic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3Familiarity with some ORM (Object Relational Mapper) librariesTrained freshers are preferable","python,html5,storage,javascript,security,django",Posted few days ago,0 - 3 yrs,Tirupati,http://ymtsindia.com/,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,RAYVAT Outsourcing,"Industry Type: IT Services & ConsultingDepartment: Engineering - Software & QAEmployment Type: Full Time, PermanentRole Category: Software DevelopmentEducation : Any GraduateResponsibilitiesWrite effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutions.Requirements0-2 year Work experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Expertise in at least one popular database (MySQL, MongoDB, SQLite)knowledge on Pandas and Numpy in PythonDesign and develop AI models to meet project requirementsConvert AI/ML models into APIs that other developers can usePerform statistical analysis on big data setsKnowledge of object-relational mapping (ORM)Able to integrate multiple data sources and databases into one systemFamiliarity with front-end technologies (like JavaScript and HTML5)Familiarity with code versioning tools such as Git, SVNAdvanced knowledge of statistical and algorithmic models as well as of fundamental mathematical concepts, such as linear algebra and probabilityWork with other machine learning engineers, data engineers, and AI engineers to develop machine learning modelsTeam spiritGood problem-solving skills","python,html5,svn,machinelearning,javascript,security,database,django,git,mysql,bigdata,mongodb",Posted 4 days ago,0 - 2 yrs,Gandhinagar,http://www.rayvat.com,IT Software : Software Products & Services,Consulting Services,Software Engineer,Any Graduate,,,
Python Developer,Virtualware Innovations,"Description Responsible for full-stack technical development of platform and modules using DevOps methodologyDemonstrated experience building robust, resilient platforms using Python-Flask, Django or similar Node / Java frameworks (ideally in an Azure / Docker environment), architecture and integration.Demonstrated knowledge using version control systems (e.g. Git, VSTS, SVN, etc.) and working in CI / CD environmentsDatabase modelling, design and implementation experience. E.g. SQL, PostgreSQL experience.Data management experience with Azure Cloud strongly preferredDeep, hands-on technical expertise in building complex distributed system architectures and designing, implementing, and scaling application platforms.Experience developing REST APIs and data integration experience, including ETL to communicate with other systemsProficiency in Linux, Database/SQL/NOSQL and caching experience.Computer/Electrical/Software Engineering or Computer Science educational background requiredExperience with various types of data sources in Oil & Gas including real-time systems such as PI, Geographic Information Systems such as ArcGIS, Production & Well management systems, ERP systems such as SAP, etc. (optional)","arcgis,docker,sql,database,java,git,postgresql,devops,linux,softwareengineering,rest,python,svn,nosql,django,managementsystems",Posted 1 day ago,0 - 3 yrs,Hyderabad/Secunderabad,http://www.virtualwarein.com,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,Any Graduate,,,
Python Developer,v support solutions,"Expertise in at least one popular Python framework like Django, Flask or Pyramid Python Hard core Developer.Strong experience with core python (3.X) and its standard libraries.Strong understanding of web services, caching, scalability, REST/SOAP principles. Strong knowledge in Natural Language Processing (NLP)Strong Knowledge in (Python, MySQL, MongoDB.) to manipulate data and draw insights from large data sets.Good in writing and testing code, debugging programs and integrating applications with third-party web services.Should have experience using server-side logic and work well in a team.Ultimately, you will build highly responsive web applications that align with our business needs.","rest,python,naturallanguageprocessing,django,debugging,mysql,softwaredeveloper,mongodb,soap",Posted 6 days ago,2 - 5 yrs,Chennai,http://www.vsupportsolutions.in,IT Software : Software Products & Services,Consulting Services,Software Engineer,Any Graduate,,,
Python Trainer,Blocklogy Edutech Private limited,"Requirements Experience: 1 to 3 YearsEducation: B.E./B.Tech/any Graduate with experience is preferable but freshers with good academic record can also applySkills: Should have depth knowledge of Python, Data Analytics,Machine Learning,Deep Learning,R and NLP Text etc.Candidate should have minimum 1yr experience in TrainingCandidate should have Good Communication SkillsShould be able to handle End to End Training - Course Content Preparation, Material Preparation, Interview Questions, Mock Interviews, Live Projects Explanation etc.Should have experience in giving training through online Platform i.e Skype,Webinars, GoTo Meeting etc.Strong background in one or more of: Deep Learning, Machine Learning, Natural Language Processing, Recommendation Systems, Pattern Recognition, Large Scale Data Mining or Artificial IntelligenceStrong experience using one of the following open-source frameworks: TensorFlow, MXNet, Theano, Keras, Jupyter and CaffeStrong hands-on coding expertise with C/C  , Python, Scala, Lua, MATLAB, or any proficient AI language of choiceA mathematical, statistical, and probability inclination and deep understanding of AI conceptsAssisting IT Professionals on Python & AI & ML queriesResponsible for training on Python & AI & MLFreshers & Interns can also apply","python,c,c,naturallanguageprocessing,scala,datamining,machinelearning,artificialintelligence,patternrecognition",Posted 6 days ago,1 - 3 yrs,Navi Mumbai,http://www.blocklogy.org,IT Software : Software Products & Services,"Educational/Training,  Research/Surveyor/MR",Software Engineer,Any Graduate,,,
Python Developers,botree technologies,"Expert in PythonDjango is Must.Familiarity with some ORM (Object Relational Mapper) librariesUnderstanding of the threading limitations of Python, and multi-process architectureGood understanding of server-side templating languages{{such as Jinja 2, Mako, etc depending on your technology stack}}Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3Understanding of accessibility and security compliance{{depending on the specific project}}Knowledge of user authentication and authorization between multiple systems, servers, and environmentsUnderstanding of fundamental design principles behind a scalable applicationFamiliarity with event-driven programming in PythonAble to create database schemas that represent and support business processesProficient understanding of code versioning tools{{such as Git, Mercurial or SVN}}Excellent written and verbal communication skills in EnglishAdditionally desired skillsBasic understanding of front-end technologiesStrong unit test and debugging skills","securitycompliance,python,html5,svn,javascript,database,django,git,webdeveloper,debugging",Posted 5 days ago,3 - 6 yrs,Ahmedabad,https://www.botreetechnologies.com/,IT Software : Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"MCA/ PGDCA
                    
                    
                  

                    BE/ B.Tech (Engineering)",,,
